DISCOUNT_ID,ORDER_ID,PRICE,QUANTITY,ORDER_DETAIL_ID,ORDER_ITEM_DISCOUNT_AMOUNT,LINE_NUMBER,UNIT_PRICE,MENU_ITEM_ID
,4064050,14,2,11111206,,1,7,13
,4064051,6,1,11111207,,0,6,11
,4064051,6,1,11111208,,1,6,12
,4064051,2,1,11111209,,2,2,14
,4064052,7,1,11111210,,0,7,13
,4064053,4,1,11111211,,0,4,17
,4064054,6,1,11111213,,1,6,12
,4064054,6,1,11111212,,0,6,11
,4064055,3,1,11111215,,1,3,19
,4064055,7,1,11111217,,3,7,13
,4064036,3,1,11111167,,2,3,19
,4064036,4,2,11111168,,3,2,14
,4064036,8,2,11111166,,1,4,17
,4064037,6,3,11111172,,3,2,14
,4064037,5,1,11111174,,5,5,18
,4064037,3.5,1,11111169,,0,3.5,10
,4064037,8,2,11111173,,4,4,17
,4064037,18,3,11111170,,1,6,11
,4064037,7,1,11111171,,2,7,13
,4064038,8,2,11111175,,0,4,17
,4064038,5,1,11111176,,1,5,18
,4064039,18,3,11111177,,0,6,12
,4064039,6,2,11111181,,4,3,19
,4064039,5,1,11111180,,3,5,18
,4064039,14,2,11111178,,1,7,13
,4064039,3,1,11111179,,2,3,15
,4064040,5,1,11111182,,0,5,18
,4064040,7,1,11111183,,1,7,13
,4064041,14,2,11111184,,0,7,13
,4064042,5,1,11111185,,0,5,18
,4064043,3,1,11111186,,0,3,19
,4064044,14,2,11111190,,3,7,13
,4064044,4,1,11111187,,0,4,17
,4064044,12,2,11111189,,2,6,12
,4064044,6,1,11111188,,1,6,11
,4064045,3,1,11111191,,0,3,16
,4064045,6,2,11111192,,1,3,19
,4064046,5,1,11111193,,0,5,18
,4064046,6,1,11111194,,1,6,12
,4064047,7,1,11111198,,3,7,13
,4064032,7,1,11111158,,2,7,13
,4064032,3,1,11111156,,0,3,16
,4064032,12,2,11111157,,1,6,11
,4064033,3,1,11111161,,2,3,19
,4064033,6,1,11111159,,0,6,11
,4064033,5,1,11111160,,1,5,18
,4064034,6,2,11111163,,1,3,19
,4064034,3,1,11111162,,0,3,16
,4064035,6,1,11111164,,0,6,12
,4064036,6,1,11111165,,0,6,11
,4064057,2,1,11111224,,4,2,14
,4064057,3.5,1,11111220,,0,3.5,10
,4064057,6,1,11111222,,2,6,12
,4064058,4,1,11111229,,0,4,17
,4064058,3,1,11111230,,1,3,19
,4064058,7,1,11111231,,2,7,13
,4064058,3,1,11111232,,3,3,15
,4064059,3,1,11111235,,2,3,19
,4064059,8,2,11111233,,0,4,17
,4064059,5,1,11111234,,1,5,18
,4064067,12,2,11111256,,0,6,12
,4064068,5,1,11111257,,0,5,18
,4064069,6,1,11111258,,0,6,11
,4064069,7,1,11111259,,1,7,13
,4064070,6,1,11111260,,0,6,12
,4064071,4,1,11111265,,4,4,17
,4064071,2,1,11111263,,2,2,14
,4064071,6,1,11111261,,0,6,12
,4064071,3,1,11111264,,3,3,16
,4064071,7,1,11111262,,1,7,13
,4064063,4,1,11111245,,0,4,17
,4064064,12,2,11111247,,0,6,12
,4064065,4,1,11111249,,1,4,17
,4064065,3,1,11111248,,0,3,19
,4064065,12,2,11111250,,2,6,11
,4064066,14,2,11111252,,1,7,13
,4064066,6,2,11111254,,3,3,16
,4064066,6,1,11111251,,0,6,12
,4064066,10,2,11111255,,4,5,18
,4064066,2,1,11111253,,2,2,14
,4064055,4,1,11111214,,0,4,17
,4064055,18,3,11111216,,2,6,12
,4064056,4,1,11111218,,0,4,17
,4064056,3,1,11111219,,1,3,19
,4064057,4,1,11111227,,7,4,17
,4064057,6,2,11111226,,6,3,16
,4064057,20,4,11111228,,8,5,18
,4064057,3,1,11111225,,5,3,15
,4064057,6,1,11111221,,1,6,11
,4064057,7,1,11111223,,3,7,13
,4064060,3,1,11111239,,3,3,15
,4064060,2,1,11111238,,2,2,14
,4064060,18,3,11111237,,1,6,11
,4064060,4,1,11111236,,0,4,17
,4064061,6,1,11111240,,0,6,11
,4064062,14,2,11111243,,2,7,13
,4064062,5,1,11111241,,0,5,18
,4064062,6,1,11111242,,1,6,12
,4064062,3,1,11111244,,3,3,15
,4064063,6,1,11111246,,1,6,12
,4064072,3.5,1,11111266,,0,3.5,10
,4064072,18,3,11111267,,1,6,12
,4064073,7,1,11111268,,0,7,13
,4064074,4,1,11111269,,0,4,17
,4064074,7,1,11111271,,2,7,13
,4064074,12,2,11111270,,1,6,11
,4064075,4,1,11111277,,5,4,17
,4064075,3,1,11111276,,4,3,16
,4064075,3.5,1,11111272,,0,3.5,10
,4064075,12,2,11111273,,1,6,11
,4064075,6,1,11111274,,2,6,12
,4064075,2,1,11111275,,3,2,14
,4064076,8,2,11111278,,0,4,17
,4064077,5,1,11111286,,7,5,18
,4064077,4,1,11111285,,6,4,17
,4064077,3,1,11111284,,5,3,16
,4064077,3,1,11111283,,4,3,15
,4064077,6,1,11111280,,1,6,11
,4064077,6,1,11111281,,2,6,12
,4064077,3.5,1,11111279,,0,3.5,10
,4064081,6,1,11111297,,1,6,11
,4064081,3.5,1,11111296,,0,3.5,10
,4064081,7,1,11111298,,2,7,13
,4064082,10,2,11111304,,5,5,18
,4064082,8,2,11111303,,4,4,17
,4064082,7,2,11111299,,0,3.5,10
,4064082,4,2,11111302,,3,2,14
,4064082,6,1,11111300,,1,6,11
,4064082,14,2,11111301,,2,7,13
,4064083,7,1,11111306,,1,7,13
,4064077,7,1,11111282,,3,7,13
,4064078,5,1,11111287,,0,5,18
,4064079,6,2,11111290,,2,3,16
,4064079,9,3,11111292,,4,3,19
,4064079,6,1,11111289,,1,6,12
,4064079,7,2,11111288,,0,3.5,10
,4064079,10,2,11111291,,3,5,18
,4064080,7,1,11111295,,2,7,13
,4064080,4,1,11111293,,0,4,17
,4064080,12,2,11111294,,1,6,12
,4064083,3,1,11111305,,0,3,19
,4064084,6,1,11111307,,0,6,12
,4064085,8,2,11111309,,1,4,17
,4064085,6,1,11111311,,3,6,12
,4064085,3,1,11111308,,0,3,19
,4064085,12,2,11111310,,2,6,11
,4064086,3,1,11111315,,3,3,15
,4064086,6,1,11111313,,1,6,11
,4064086,4,1,11111312,,0,4,17
,4064086,7,1,11111314,,2,7,13
,4064089,4,1,11111325,,5,4,17
,4064089,6,2,11111327,,7,3,19
,4064090,7,1,11111329,,1,7,13
,4064090,5,1,11111332,,4,5,18
,4064090,3,1,11111330,,2,3,16
,4064090,8,2,11111331,,3,4,17
,4064090,6,1,11111328,,0,6,11
,4064091,3,1,11111333,,0,3,19
,4064091,6,1,11111334,,1,6,11
,4064092,14,2,11111336,,1,7,13
,4064087,7,1,11111317,,1,7,13
,4064087,2,1,11111318,,2,2,14
,4064087,4,1,11111316,,0,4,17
,4064088,7,1,11111319,,0,7,13
,4064089,2,1,11111323,,3,2,14
