CUSTOMER_ID,ESENT,EOPENRATE,ECLICKRATE
6H6T6N,29,100,3.448275862
APCENR,95,92.63157895,10.52631579
7UP6MS,0,0,0
7ZEW8G,0,0,0
8V726M,30,90,13.33333333
2B6B83,46,80.43478261,15.2173913
99XGVM,60,43.33333333,6.666666667
U3MP5L,64,28.125,15.625
ELKAGQ,45,0,0
3SBQP2,34,94.11764706,8.823529412
YMALVV,48,83.33333333,2.083333333
GW8NT7,40,87.5,45
TFKLD4,69,2.898550725,2.898550725
RAQ92T,38,36.84210526,23.68421053
DMJERJ,16,12.5,0
FJKD8W,45,60,15.55555556
HEPCW7,13,61.53846154,15.38461538
2JZAE3,48,8.333333333,2.083333333
BYS2DU,57,17.54385965,0
F6MHUM,46,65.2173913,8.695652174
LSL6QK,0,0,0
9SVNMF,47,2.127659574,0
JPBBEP,47,19.14893617,10.63829787
3ML22U,0,0,0
N297FU,0,0,0
JD96M8,18,0,0
PLM5WZ,0,0,0
F3MF5Y,31,100,9.677419355
2GHDRJ,46,6.52173913,4.347826087
KZHTJ7,49,36.73469388,20.40816327
WXBP2F,16,0,0
RJYYJ9,45,11.11111111,0
MZ8L3N,40,2.5,2.5
UCVGQ9,48,12.5,2.083333333
4W84UJ,0,0,0
LMVN3V,45,17.77777778,2.222222222
CZTUVU,47,2.127659574,0
3TJT3R,16,0,0
Q7RV8W,45,0,0
D5SNFS,0,0,0
ANEWZC,0,0,0
ZKL5JF,0,0,0
EEKG4H,0,0,0
AZJTMQ,0,0,0
HGBG96,0,0,0
W97W6Q,48,2.083333333,2.083333333
LGA8JT,50,10,4
RZQEWF,45,0,0
D4AEL5,0,0,0
3PST7V,0,0,0
T6ZAER,0,0,0
C55RAB,0,0,0
YRHUHV,53,3.773584906,3.773584906
8SK2UB,18,0,0
HZS3AJ,0,0,0
GXDXR6,18,0,0
LE9M9X,16,0,0
B2LW75,16,0,0
BNE3YV,23,95.65217391,0
LJJEMA,34,14.70588235,0
EBNK8A,0,0,0
Z4YCW4,41,43.90243902,0
FNWU29,0,0,0
ARR4H6,42,26.19047619,2.380952381
RACF5D,0,0,0
64QBT7,33,75.75757576,0
GK3EST,16,0,0
W3TM2U,0,0,0
MLX3EU,14,0,0
BXWS2B,45,77.77777778,20
C8UJQ3,16,0,0
PFCF8Q,46,93.47826087,15.2173913
NJR788,0,0,0
J8SLPE,45,4.444444444,2.222222222
GYH5AF,47,2.127659574,0
4QRWVB,18,0,0
VMYYX9,0,0,0
CF5K35,42,38.0952381,0
XQK2CK,0,0,0
FM7VFL,44,25,11.36363636
7PEMUD,47,0,0
A3XBE,45,6.666666667,2.222222222
EQSD5E,45,6.666666667,0
CT3NDS,39,87.17948718,12.82051282
C6HVXN,16,0,0
ARP342,0,0,0
7PALQK,0,0,0
S5DZ4Y,47,2.127659574,0
Z7QFN7,16,0,0
TGYGPC,42,16.66666667,2.380952381
DVRYSK,0,0,0
HTJNCB,39,35.8974359,0
3VCXN,0,0,0
SGU3PB,0,0,0
PXXTWN,0,0,0
U9ZQQP,46,19.56521739,10.86956522
M87HQT,0,0,0
564EL5,0,0,0
S7B2TP,38,28.94736842,18.42105263
PA38W9,0,0,0
5DDKKP,40,22.5,0
BUMVQN,0,0,0
ZPR8KQ,52,3.846153846,1.923076923
EG43ET,34,79.41176471,17.64705882
QKYBFL,18,0,0
2NV3SY,40,25,0
YUA6VH,47,2.127659574,0
ME8GM2,37,5.405405405,5.405405405
ELJFL7,41,21.95121951,14.63414634
37TL6Y,16,0,0
VSDFDY,16,0,0
XWM9F2,42,23.80952381,0
248PRB,45,22.22222222,8.888888889
EDHT4T,42,23.80952381,0
2K94VS,44,29.54545455,0
PBCL4J,0,0,0
E3JPX3,0,0,0
5CLFNM,46,6.52173913,0
S8J2KD,0,0,0
SJKEYZ,47,17.0212766,6.382978723
PCM3GS,48,4.166666667,0
4YUT8B,0,0,0
WYPLUJ,16,0,0
6FR5QW,0,0,0
ETU955,11,27.27272727,18.18181818
3WEGJ4,22,4.545454545,4.545454545
HFLKGD,18,0,0
CXU7AW,0,0,0
Y4JALT,34,64.70588235,2.941176471
6ZHF73,0,0,0
UTLGDS,47,2.127659574,0
F3ANT8,47,0,0
UH5A8N,0,0,0
72EG38,0,0,0
DEHQEB,0,0,0
HU4SHX,0,0,0
ZGNKU4,32,87.5,6.25
9B2NQX,0,0,0
HSZGYK,41,56.09756098,0
FVHPYJ,2,50,0
SKUYV,67,25.37313433,8.955223881
FCX4A7,39,87.17948718,12.82051282
2CQ42Z,47,0,0
9HRV46,44,4.545454545,0
TNDHYE,46,4.347826087,4.347826087
P4SHNX,34,23.52941176,8.823529412
,47,0,0
XFM2UU,0,0,0
FYKE6T,45,4.444444444,0
9HNPDF,16,0,0
3PMDNS,0,0,0
QDTHZ3,0,0,0
85JTA,45,2.222222222,0
YACQB7,1,0,0
UA88SV,45,11.11111111,0
M43V97,0,0,0
BRZQNB,38,28.94736842,0
6GK8ZP,0,0,0
AXS66R,72,30.55555556,0
C9S2QZ,51,19.60784314,13.7254902
BTE8SJ,43,6.976744186,6.976744186
6C69AH,0,0,0
MFGEYU,0,0,0
SBJSTR,0,0,0
4P69JL,0,0,0
Y3Q9RE,0,0,0
SH97N,41,21.95121951,0
F8CALQ,40,5,0
AZ48MV,39,7.692307692,2.564102564
VZSLYC,0,0,0
9FT8PL,0,0,0
6B6RCS,0,0,0
AL2LGA,0,0,0
7VK6PX,41,14.63414634,2.43902439
FHKQJY,28,21.42857143,0
2WCFBU,27,62.96296296,0
BWVPGQ,46,4.347826087,2.173913043
X3299E,48,10.41666667,8.333333333
KJ8J2C,0,0,0
BJAPV3,0,0,0
,14,100,21.42857143
VJYRQ8,0,0,0
3ETY2H,0,0,0
BSC6KU,45,0,0
ABHHAT,0,0,0
RH5VGB,18,0,0
ER99UJ,53,3.773584906,1.886792453
86SLAH,38,39.47368421,15.78947368
TJJPG,31,100,19.35483871
GCXDYV,0,0,0
8REF6A,0,0,0
JD489B,36,58.33333333,0
Y6C6NW,32,93.75,0
UDKBWA,60,30,8.333333333
Z3M84Z,0,0,0
JJH6BE,13,100,46.15384615
FEUEP6,47,4.255319149,4.255319149
CGUZKY,48,2.083333333,0
S6MWEQ,48,16.66666667,10.41666667
646VZ8,16,0,0
