CUSTOMER_ID,CREATED_DT,CITY,STATE,FAV_DELIVERY_DAY,REFILL,DOOR_DELIVERY,PAPERLESS,CUSTOMER_NAME,RETAINED
,,Dallas,TX,Wednesday,0,0,0,wU2AcrEU3F,
,,Houston,TX,Tuesday,1,0,1,1SqzfEhoeW,
6H6T6N,9/28/2012,Dallas,TX,Monday,0,0,0,flNK83fi4f,0
APCENR,12/19/2010,Dallas,TX,Friday,1,1,1,ljCODBugAV,1
7UP6MS,10/3/2010,Dallas,TX,Wednesday,0,0,0,5B7qnNdi32,0
7ZEW8G,10/22/2010,Houston,TX,Thursday,0,0,0,bL28yVsF5i,0
8V726M,11/27/2010,Houston,TX,Monday,0,0,0,pS9oUZql8O,1
2B6B83,11/17/2008,Dallas,TX,Wednesday,1,0,1,cGuwedXzJS,1
99XGVM,1/24/2011,Houston,TX,Friday,1,0,0,7n4MnOVx3V,1
U3MP5L,12/4/2009,Dallas,TX,Friday,1,0,1,7GHyRX6tZK,1
ELKAGQ,9/18/2010,Dallas,TX,Wednesday,0,0,0,OpKNslwesA,1
3SBQP2,12/29/2010,Dallas,TX,Monday,0,0,1,Mf3K8J0NOg,1
YMALVV,9/22/2010,Dallas,TX,Friday,0,1,0,wTqBgWhlaj,1
GW8NT7,11/16/2009,Dallas,TX,Wednesday,0,0,0,qHOtiuYCdR,1
TFKLD4,7/25/2009,Dallas,TX,Monday,1,1,1,mc9Ds9sMBW,1
RAQ92T,3/14/2010,Dallas,TX,Tuesday,0,0,0,7oCscrIjUA,1
DMJERJ,4/11/2011,Dallas,TX,Tuesday,1,0,1,T0O95ms7nZ,0
FJKD8W,3/8/2011,Houston,TX,Wednesday,1,0,1,Dtwvmn0cAw,1
HEPCW7,10/2/2010,Dallas,TX,Monday,0,0,1,nqVURN6v9r,0
2JZAE3,8/30/2010,Dallas,TX,Monday,0,0,0,EhDONR1ppw,1
BYS2DU,2/2/2011,Houston,TX,Monday,0,0,0,tILrQrcWsq,1
F6MHUM,9/14/2010,Dallas,TX,Thursday,0,0,1,9axXwWJ8Rw,1
LSL6QK,2/22/2011,Houston,TX,Monday,0,0,0,yWyjGaVFXd,0
9SVNMF,12/18/2010,Dallas,TX,Wednesday,0,0,0,SbjfQVRtvs,1
JPBBEP,8/12/2010,Dallas,TX,Wednesday,0,0,1,Vi8nP8qgr6,1
3ML22U,3/10/2011,Dallas,TX,Tuesday,0,0,0,3mzwm3t3l0,0
N297FU,4/24/2010,Dallas,TX,Tuesday,0,0,0,gGQRkYtJpN,0
JD96M8,1/26/2011,Dallas,TX,Tuesday,0,0,0,XoVpIJolbl,1
PLM5WZ,11/17/2009,Dallas,TX,Monday,0,0,0,Wjpj1Zauyx,0
F3MF5Y,7/24/2010,Dallas,TX,Thursday,0,0,0,vv9jYRXU2d,1
2GHDRJ,7/24/2009,Houston,TX,Friday,0,0,1,KU9OMBdmdP,1
KZHTJ7,1/26/2011,Houston,TX,Monday,0,0,0,AKfcegm4wp,1
WXBP2F,8/28/2010,Dallas,TX,Tuesday,0,0,0,v8b42akLSe,1
RJYYJ9,1/29/2011,Houston,TX,Tuesday,0,0,0,X1XnnDa9zO,1
MZ8L3N,2/9/2011,Houston,TX,Thursday,0,0,0,e6Eo7V8AfZ,1
UCVGQ9,3/7/2011,Houston,TX,Monday,0,0,0,INMdDVpAem,1
4W84UJ,4/24/2009,Dallas,TX,Tuesday,0,0,0,KTiNz04T6s,0
LMVN3V,5/18/2010,Dallas,TX,Thursday,0,0,0,Cl6hRFEMbX,1
CZTUVU,9/13/2010,Dallas,TX,Wednesday,0,0,0,OVH1OQTLpl,1
3TJT3R,4/22/2011,Houston,TX,Friday,0,0,0,rosvkMvPJx,1
Q7RV8W,8/20/2010,Houston,TX,Friday,0,0,0,PFGg2noKUM,1
D5SNFS,1/4/2011,Dallas,TX,Wednesday,0,0,0,PaBlplgzbu,0
ANEWZC,3/8/2011,Houston,TX,Tuesday,0,0,0,A3jbKaRYBp,0
ZKL5JF,1/20/2011,Houston,TX,Thursday,0,0,0,uKR0GUJA1B,0
EEKG4H,11/10/2009,Dallas,TX,Wednesday,0,0,0,U2ldsXXNkW,0
AZJTMQ,6/20/2009,Dallas,TX,Thursday,0,0,0,itNqKSC8fe,0
HGBG96,1/26/2010,Dallas,TX,Tuesday,0,0,0,jTeOPzKZt6,0
W97W6Q,2/26/2010,Dallas,TX,Tuesday,0,0,0,smLy0jaSOJ,1
LGA8JT,11/11/2009,Dallas,TX,Monday,0,0,0,V863BMKtfl,1
RZQEWF,10/19/2010,Dallas,TX,Wednesday,0,0,0,E1feLLxOpm,1
D4AEL5,3/4/2010,Dallas,TX,Monday,0,0,0,J3OtINRzGP,0
3PST7V,2/10/2011,Dallas,TX,Friday,0,0,0,3NLKFswm28,0
T6ZAER,7/19/2009,Dallas,TX,Friday,0,0,0,vuNL5fwbEl,0
C55RAB,8/3/2010,Dallas,TX,Wednesday,0,0,0,rkBvuSy7rv,0
YRHUHV,4/15/2010,Dallas,TX,Tuesday,0,0,0,eck1rmaEU3,1
8SK2UB,1/23/2011,Dallas,TX,Monday,0,0,0,fFAKN3O9kg,1
HZS3AJ,9/7/2010,Houston,TX,Thursday,0,0,0,jM8zMN3z16,0
GXDXR6,6/21/2010,Dallas,TX,Monday,0,0,0,EDFMKpj3Dc,1
LE9M9X,4/12/2011,Dallas,TX,Monday,0,0,0,9fiVcUDZUh,1
B2LW75,5/14/2009,Dallas,TX,Friday,0,0,0,LX7kPaKEio,1
BNE3YV,7/13/2010,Houston,TX,Monday,0,0,0,Je90lJermB,1
LJJEMA,10/5/2010,Houston,TX,Tuesday,1,0,0,e9IkY5PSh0,1
EBNK8A,8/27/2010,Dallas,TX,Wednesday,0,0,0,zUAqx6Pdcl,0
Z4YCW4,6/14/2010,Dallas,TX,Thursday,0,0,1,b2SKSZtN9V,1
FNWU29,8/26/2010,Waco,TX,Wednesday,0,0,1,1GnSzTcINA,0
ARR4H6,9/5/2010,Houston,TX,Tuesday,0,0,0,AHrj3iv24b,1
RACF5D,9/20/2010,Dallas,TX,Thursday,0,0,0,YbIxCHyyxY,0
64QBT7,3/15/2011,Dallas,TX,Tuesday,0,0,0,DDAqRv5gjZ,0
GK3EST,6/16/2010,Dallas,TX,Wednesday,0,0,0,qTlig44EP4,1
W3TM2U,11/3/2010,Houston,TX,Tuesday,0,0,1,vsqt7T7Mmx,0
MLX3EU,10/2/2008,Dallas,TX,Thursday,0,0,0,aFAO7tH6vm,1
BXWS2B,11/29/2009,Dallas,TX,Monday,0,0,1,H2sYIoZOBR,1
C8UJQ3,2/9/2010,Dallas,TX,Wednesday,0,0,0,7hsWStLs60,1
PFCF8Q,7/12/2010,Dallas,TX,Tuesday,0,0,0,Chb4KTrPrb,1
NJR788,8/18/2010,Dallas,TX,Tuesday,0,0,0,YM29QADz6s,0
J8SLPE,8/7/2009,Dallas,TX,Friday,0,0,0,RnyRpVQwV5,1
GYH5AF,1/18/2011,Dallas,TX,Friday,0,0,0,yXNhPAy8UD,1
4QRWVB,8/17/2010,Dallas,TX,Wednesday,0,0,0,JWuX722JyC,1
VMYYX9,1/23/2010,Dallas,TX,Monday,0,0,0,ianw93Phw4,0
CF5K35,2/3/2011,Dallas,TX,Monday,0,0,0,escofjiXsU,1
